Citation,Authors,DOI,Geometry of Sample,Dimensions of sample,Material of sample,Oxygen Concentration,Pressure,Flow Velocity (Co flow is + and counter flow is -),Rig Name,Internal geometry (Cylindrical , rectangular),Internal Dimensions,Gravity (g/gearth),Ignition method (Wire, open flame, or Radiative Heater,Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground),Ignition power (W),Ignition time (s),Ignition (Yes/No),Flame Length,FSR (Flame Spread Rate) (mm/s),HRR (Heat release rate) (W),Smoke/ Areosols (yes/no),Notes
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 10 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,264,2.5 s Drop Tower Facility at NCCRD IIT Madras,Rectangular,120 mm x 120 mm x 530 mm,1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,3.9,N/A,N/A,"Planar fuel, width 10 mm, normal gravity (1g). Equivalent opposed flow Veq = 264 mm/s (26.4 cm/s). Data point extracted from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 10 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,300,2.5 s Drop Tower Facility at NCCRD IIT Madras,Rectangular,120 mm x 120 mm x 530 mm,1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,3.5,N/A,N/A,"Planar fuel, width 10 mm, normal gravity (1g). Equivalent opposed flow Veq = 300 mm/s (30.0 cm/s). Data point extracted from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 20 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,100,2.5 s Drop Tower Facility at NCCRD IIT Madras,Rectangular,120 mm x 120 mm x 530 mm,1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,6.0,N/A,N/A,"Planar fuel, width 20 mm, normal gravity (1g). Equivalent opposed flow Veq = 100 mm/s (10.0 cm/s). Data point extracted from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 20 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,150,2.5 s Drop Tower Facility at NCCRD IIT Madras,Rectangular,120 mm x 120 mm x 530 mm,1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,5.5,N/A,N/A,"Planar fuel, width 20 mm, normal gravity (1g). Equivalent opposed flow Veq = 150 mm/s (15.0 cm/s). Data point extracted from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 20 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,200,2.5 s Drop Tower Facility at NCCRD IIT Madras,Rectangular,120 mm x 120 mm x 530 mm,1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,5.1,N/A,N/A,"Planar fuel, width 20 mm, normal gravity (1g). Equivalent opposed flow Veq = 200 mm/s (20.0 cm/s). Data point extracted from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 20 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,250,2.5 s Drop Tower Facility at NCCRD IIT Madras,Rectangular,120 mm x 120 mm x 530 mm,1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,4.2,N/A,N/A,"Planar fuel, width 20 mm, normal gravity (1g). Equivalent opposed flow Veq = 250 mm/s (25.0 cm/s). Data point extracted from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 20 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,300,2.5 s Drop Tower Facility at NCCRD IIT Madras,Rectangular,120 mm x 120 mm x 530 mm,1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,3.8,N/A,N/A,"Planar fuel, width 20 mm, normal gravity (1g). Equivalent opposed flow Veq = 300 mm/s (30.0 cm/s). Data point extracted from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 40 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,100,2.5 s Drop Tower Facility at NCCRD IIT Madras,Rectangular,120 mm x 120 mm x 530 mm,1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,6.0,N/A,N/A,"Planar fuel, width 40 mm, normal gravity (1g). Equivalent opposed flow Veq = 100 mm/s (10.0 cm/s). Data point extracted from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 40 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,150,2.5 s Drop Tower Facility at NCCRD IIT Madras,Rectangular,120 mm x 120 mm x 530 mm,1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,5.5,N/A,N/A,"Planar fuel, width 40 mm, normal gravity (1g). Equivalent opposed flow Veq = 150 mm/s (15.0 cm/s). Data point extracted from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 40 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,200,2.5 s Drop Tower Facility at NCCRD IIT Madras,Rectangular,120 mm x 120 mm x 530 mm,1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,4.9,N/A,N/A,"Planar fuel, width 40 mm, normal gravity (1g). Equivalent opposed flow Veq = 200 mm/s (20.0 cm/s). Data point extracted from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 40 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,250,2.5 s Drop Tower Facility at NCCRD IIT Madras,Rectangular,120 mm x 120 mm x 530 mm,1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,4.2,N/A,N/A,"Planar fuel, width 40 mm, normal gravity (1g). Equivalent opposed flow Veq = 250 mm/s (25.0 cm/s). Data point extracted from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 40 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,300,2.5 s Drop Tower Facility at NCCRD IIT Madras,Rectangular,120 mm x 120 mm x 530 mm,1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,3.6,N/A,N/A,"Planar fuel, width 40 mm, normal gravity (1g). Equivalent opposed flow Veq = 300 mm/s (30.0 cm/s). Data point extracted from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 10 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,10 (Forced: 0, Buoyant: ~10),2.5 s Drop Tower Facility,Rectangular,120 mm x 120 mm x 530 mm,0.01,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,3.2,N/A,N/A,"Planar fuel, width 10 mm, microgravity (µg). Equivalent opposed flow Veq ≈ 10 mm/s (1.0 cm/s) forced + buoyant. Data from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 10 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,50,2.5 s Drop Tower Facility,Rectangular,120 mm x 120 mm x 530 mm,0.01,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,4.0,N/A,N/A,"Planar fuel, width 10 mm, microgravity (µg). Equivalent opposed flow Veq = 50 mm/s (5.0 cm/s). Data from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 10 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,100,2.5 s Drop Tower Facility,Rectangular,120 mm x 120 mm x 530 mm,0.01,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,5.5,N/A,N/A,"Planar fuel, width 10 mm, microgravity (µg). Equivalent opposed flow Veq = 100 mm/s (10.0 cm/s). Data from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 20 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,10,2.5 s Drop Tower Facility,Rectangular,120 mm x 120 mm x 530 mm,0.01,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,3.9,N/A,N/A,"Planar fuel, width 20 mm, microgravity (µg). Equivalent opposed flow Veq ≈ 10 mm/s (1.0 cm/s). Data from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 20 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,50,2.5 s Drop Tower Facility,Rectangular,120 mm x 120 mm x 530 mm,0.01,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,5.5,N/A,N/A,"Planar fuel, width 20 mm, microgravity (µg). Equivalent opposed flow Veq = 50 mm/s (5.0 cm/s). Data from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 20 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,100,2.5 s Drop Tower Facility,Rectangular,120 mm x 120 mm x 530 mm,0.01,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,6.5,N/A,N/A,"Planar fuel, width 20 mm, microgravity (µg). Equivalent opposed flow Veq = 100 mm/s (10.0 cm/s). Data from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 20 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,150,2.5 s Drop Tower Facility,Rectangular,120 mm x 120 mm x 530 mm,0.01,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,7.0,N/A,N/A,"Planar fuel, width 20 mm, microgravity (µg). Equivalent opposed flow Veq = 150 mm/s (15.0 cm/s). Data from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 20 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,200,2.5 s Drop Tower Facility,Rectangular,120 mm x 120 mm x 530 mm,0.01,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,7.5,N/A,N/A,"Planar fuel, width 20 mm, microgravity (µg). Equivalent opposed flow Veq = 200 mm/s (20.0 cm/s). Data from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 20 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,250,2.5 s Drop Tower Facility,Rectangular,120 mm x 120 mm x 530 mm,0.01,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,7.4,N/A,N/A,"Planar fuel, width 20 mm, microgravity (µg). Equivalent opposed flow Veq = 250 mm/s (25.0 cm/s). Data from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 20 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,300,2.5 s Drop Tower Facility,Rectangular,120 mm x 120 mm x 530 mm,0.01,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,7.0,N/A,N/A,"Planar fuel, width 20 mm, microgravity (µg). Equivalent opposed flow Veq = 300 mm/s (30.0 cm/s). Data from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 40 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,10,2.5 s Drop Tower Facility,Rectangular,120 mm x 120 mm x 530 mm,0.01,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,3.5,N/A,N/A,"Planar fuel, width 40 mm, microgravity (µg). Equivalent opposed flow Veq ≈ 10 mm/s (1.0 cm/s). Data from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 40 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,50,2.5 s Drop Tower Facility,Rectangular,120 mm x 120 mm x 530 mm,0.01,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,5.8,N/A,N/A,"Planar fuel, width 40 mm, microgravity (µg). Equivalent opposed flow Veq = 50 mm/s (5.0 cm/s). Data from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 40 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,100,2.5 s Drop Tower Facility,Rectangular,120 mm x 120 mm x 530 mm,0.01,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,7.1,N/A,N/A,"Planar fuel, width 40 mm, microgravity (µg). Equivalent opposed flow Veq = 100 mm/s (10.0 cm/s). Data from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 40 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,150,2.5 s Drop Tower Facility,Rectangular,120 mm x 120 mm x 530 mm,0.01,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,7.8,N/A,N/A,"Planar fuel, width 40 mm, microgravity (µg). Equivalent opposed flow Veq = 150 mm/s (15.0 cm/s). Data from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 40 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,200,2.5 s Drop Tower Facility,Rectangular,120 mm x 120 mm x 530 mm,0.01,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,7.9,N/A,N/A,"Planar fuel, width 40 mm, microgravity (µg). Equivalent opposed flow Veq = 200 mm/s (20.0 cm/s). Data from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 40 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,250,2.5 s Drop Tower Facility,Rectangular,120 mm x 120 mm x 530 mm,0.01,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,7.5,N/A,N/A,"Planar fuel, width 40 mm, microgravity (µg). Equivalent opposed flow Veq = 250 mm/s (25.0 cm/s). Data from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Flat,"Width = 40 mm; Thickness = 0.076 mm",Cellulosic paper (Kimwipes),0.21,101.325,300,2.5 s Drop Tower Facility,Rectangular,120 mm x 120 mm x 530 mm,0.01,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,7.1,N/A,N/A,"Planar fuel, width 40 mm, microgravity (µg). Equivalent opposed flow Veq = 300 mm/s (30.0 cm/s). Data from Fig. 3a."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Cylinder (Hollow),Diameter = 10 mm; Thickness = 0.076 mm,Cellulosic paper (Kimwipes),0.21,101.325,264,2.5 s Drop Tower Facility,Circular (Annular),N/A (Duct: 120x120 mm),1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,6.9,N/A,N/A,"Circular duct, diameter 10 mm, normal gravity (1g). Equivalent opposed flow Veq = 264 mm/s (26.4 cm/s). Data point extracted from Fig. 3b."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Cylinder (Hollow),Diameter = 10 mm; Thickness = 0.076 mm,Cellulosic paper (Kimwipes),0.21,101.325,300,2.5 s Drop Tower Facility,Circular (Annular),N/A (Duct: 120x120 mm),1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,6.3,N/A,N/A,"Circular duct, diameter 10 mm, normal gravity (1g). Equivalent opposed flow Veq = 300 mm/s (30.0 cm/s). Data point extracted from Fig. 3b."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Cylinder (Hollow),Diameter = 19 mm; Thickness = 0.076 mm,Cellulosic paper (Kimwipes),0.21,101.325,100,2.5 s Drop Tower Facility,Circular (Annular),N/A (Duct: 120x120 mm),1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,8.9,N/A,N/A,"Circular duct, diameter 19 mm, normal gravity (1g). Equivalent opposed flow Veq = 100 mm/s (10.0 cm/s). Data point extracted from Fig. 3b."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Cylinder (Hollow),Diameter = 19 mm; Thickness = 0.076 mm,Cellulosic paper (Kimwipes),0.21,101.325,150,2.5 s Drop Tower Facility,Circular (Annular),N/A (Duct: 120x120 mm),1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,8.3,N/A,N/A,"Circular duct, diameter 19 mm, normal gravity (1g). Equivalent opposed flow Veq = 150 mm/s (15.0 cm/s). Data point extracted from Fig. 3b."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Cylinder (Hollow),Diameter = 19 mm; Thickness = 0.076 mm,Cellulosic paper (Kimwipes),0.21,101.325,200,2.5 s Drop Tower Facility,Circular (Annular),N/A (Duct: 120x120 mm),1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,7.5,N/A,N/A,"Circular duct, diameter 19 mm, normal gravity (1g). Equivalent opposed flow Veq = 200 mm/s (20.0 cm/s). Data point extracted from Fig. 3b."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Cylinder (Hollow),Diameter = 19 mm; Thickness = 0.076 mm,Cellulosic paper (Kimwipes),0.21,101.325,250,2.5 s Drop Tower Facility,Circular (Annular),N/A (Duct: 120x120 mm),1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,7.1,N/A,N/A,"Circular duct, diameter 19 mm, normal gravity (1g). Equivalent opposed flow Veq = 250 mm/s (25.0 cm/s). Data point extracted from Fig. 3b."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Cylinder (Hollow),Diameter = 19 mm; Thickness = 0.076 mm,Cellulosic paper (Kimwipes),0.21,101.325,300,2.5 s Drop Tower Facility,Circular (Annular),N/A (Duct: 120x120 mm),1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,6.3,N/A,N/A,"Circular duct, diameter 19 mm, normal gravity (1g). Equivalent opposed flow Veq = 300 mm/s (30.0 cm/s). Data point extracted from Fig. 3b."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Cylinder (Hollow),Diameter = 38 mm; Thickness = 0.076 mm,Cellulosic paper (Kimwipes),0.21,101.325,100,2.5 s Drop Tower Facility,Circular (Annular),N/A (Duct: 120x120 mm),1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,11.2,N/A,N/A,"Circular duct, diameter 38 mm, normal gravity (1g). Equivalent opposed flow Veq = 100 mm/s (10.0 cm/s). Data point extracted from Fig. 3b."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Cylinder (Hollow),Diameter = 38 mm; Thickness = 0.076 mm,Cellulosic paper (Kimwipes),0.21,101.325,150,2.5 s Drop Tower Facility,Circular (Annular),N/A (Duct: 120x120 mm),1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,10.2,N/A,N/A,"Circular duct, diameter 38 mm, normal gravity (1g). Equivalent opposed flow Veq = 150 mm/s (15.0 cm/s). Data point extracted from Fig. 3b."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.1016/j.proci.2024.105775,Cylinder (Hollow),Diameter = 38 mm; Thickness = 0.076 mm,Cellulosic paper (Kimwipes),0.21,101.325,200,2.5 s Drop Tower Facility,Circular (Annular),N/A (Duct: 120x120 mm),1,Wire (Nichrome coil),Drop Tower,N/A,N/A,Yes,N/A,8.6,N/A,N/A,"Circular duct, diameter 38 mm, normal gravity (1g). Equivalent opposed flow Veq = 200 mm/s (20.0 cm/s). Data point extracted from Fig. 3b."
"Kumar, Vipin, et al. ""Flame spread over thin circular ducts."" Proceedings of the Combustion Institute 40.1-4 (2024): 105775.","Vipin Kumar, Naresh Kambam, Amit Kumar",10.